#separator:Semicolon
#html:false
#columns:Traditional;Reading;Definition;Simplified;tag
#notetype:Chinese (Trad and Simp)
#deck:tianguancifu
索;suo3;"BOUND FORM

1 search in sōusuǒ

2 demand; exact in suọ̌qǔ

3 large rope in shéngsuǒ

<hr style='width: 30%'>

NOUN

Surname See also ⁹suō";;hsk3
干;gan1;"VERB

have to do with; be implicated in; involve 與他何干? Yǔ tā hé gān? What has this to do with him?

<hr style='width: 30%'>

BOUND FORM

1 shield in gāngē

2 Heavenly Stems in tiāngān See also ¹gān ¹gàn";;hsk3
幹;gan4;"BOUND FORM

1 trunk in shùgàn

2 main body in gànxiàn

<hr style='width: 30%'>

VERB

1 do; work a 我們幹起來吧! Wǒmen gàn qǐlai ba! Let's get started! b 我們應該把這個工作幹到底。 Wǒmen yīnggāi bǎ zhège gōngzuò gàn dàodǐ. We have to carry this job through to completion.

2 hold the post of

3 fight 我們得跟敵人幹到底。 Wǒmen děi gēn dírén gàn dàodǐ. We have to fight the enemy to the bitter end.  AB. gànbù See also ¹gān ²gān";干;hsk1
雅;"ya3; ya1";"ya3
STATIC VERB

1 refined; elegant

2 standard; proper

<hr style='width: 30%'>

ADVERB

, wr.

1 very

2 usually; often

<hr style='width: 30%'>

PRONOUN

, court. your
	雅愛 yǎ'ài your affection/help

<hr style='width: 30%'>

NOUN

1 dynastic-hymns sections in the Book of Songs

2 wr. acquaintance; friendship See also ⁹yā

<hr style='width: 30%'><hr style='width: 30%'>

ya1
char. in yāpiàn , Yākùtèyǔ See also ²yǎ";;hsk3
焞;jun4;;;hsk3
控;kong4;"BOUND FORM

1 accuse; charge in kònggào

2 control; dominate in kòngzhì

<hr style='width: 30%'>

VERB

turn a container/vessel upside down; pour out";;hsk3
返;fan3;"VERB

return";;hsk3
刺;ci4;"VERB

1 stab; prick

2 assassinate

3 irritate; stimulate

4 criticize

<hr style='width: 30%'>

NOUN

1 thorn; splinter

2 wr. visiting card See also ⁴cī";;hsk4
戒;jie4;"BOUND FORM

1 guard against in jièbèi

2 exhort; admonish; warn in ¹gàojiè

3 give up; drop; stop in jièyān

4 (finger) ring in jièzhi

<hr style='width: 30%'>

NOUN

1 Budd. monastic discipline

2 prohibition";;hsk5
季;ji4;"BOUND FORM

1 season in ¹chūnjì

2 the yield in one season

3 last month of (the season) in jìchūn

4 trad. fourth/youngest (brother) in bó-zhòng-shū-jì

<hr style='width: 30%'>

NOUN

Surname";;hsk4
夏;xia4;"BOUND FORM

summer in xiàtiān

<hr style='width: 30%'>

NOUN

1 ancient name for China

2 Xia dynasty

3 Surname

4 Bactria";;hsk3
閑;xian2;"STATIC VERB

1 not busy; unoccupied 他今天在家閑著。 Tā jīntiān zài jiā xiánzhe. He's home off-duty today.

2 idle

<hr style='width: 30%'>

VERB

be not in use

<hr style='width: 30%'>

BOUND FORM

1 chatty; not connected with serious business; digressive in xiántán

2 leisure; spare time in ¹kòngxián";闲;hsk5
聒;guo1;"BOUND FORM

clamorous; uproarious in guōzào";;hsk3
噪;zao4;"VERB

1 chirp

2 make noise

3 clamor";;hsk3
抄;chao1;"VERB

1 copy; transcribe 請把這份文件抄兩份。 Qǐng bǎ zhè fèn wénjiàn chāo liǎng fèn. Would you please make two copies of this document?

2 plagiarize; lift 不要抄別人的作業。 Bụ̀yào chāo biéren de zuòyè. Don't crib other's written work.

3 search and confiscate

4 go off with

5 take a shortcut

6 fold (one's arms)

7 grab; take up 他抄起書包就走。 Tā chāo qǐ shūbāo jiù zǒu. He grabbed his bag and left.

8 take for one's own use; filch";;hsk4
彘;zhi4;"BOUND FORM

pig; pork in ²zhìjiān , gǒu-zhì";;hsk3
虐;nüe4;"BOUND FORM

cruel; tyrannical in nüèdài , bàonüè";;hsk3
饕;tao1;"BOUND FORM

glutton in tāotiè , lǎotāo";;hsk3
豸;zhi4;"BOUND FORM

1 beasts of prey

2 trad. (legless) worms in xièzhì , xièzhìguān";;hsk3
遞;di4;"VERB

1 forward; transmit 給你哥哥遞個口信兒。 Gẹ̌i nǐ gēge dì ge kǒuxìnr. Take a message to your brother.

2 alternate

<hr style='width: 30%'>

ADVERB

successively";递;hsk5
帖;"tie3; tie1; tie4";"tie3
BOUND FORM

1 note; card in tiězi

2 invitation in qị̌ngtiě

<hr style='width: 30%'>

NOMINAL MEASURE WORD

(for doses) See also ²tiē ¹tiè

<hr style='width: 30%'><hr style='width: 30%'>

tie1
BOUND FORM

1 obey; submit in tiēfú

2 properly arranged in tuǒtiē See also ²tiě ¹tiè

<hr style='width: 30%'><hr style='width: 30%'>

tie4
BOUND FORM

model for calligraphy in xízìtiè See also ²tiē ²tiě";;hsk3
塌;ta1;"VERB

1 collapse 別擔心, 天不會塌的。 Bié dānxīn, tiān bụ̀ huì tā de. Don't worry. The sky won't collapse.

2 droop

3 settle down";;hsk7-9
爽;shuang3;"BOUND FORM

1 bright; clear; crisp in liángshuǎng

2 straightforward in shuǎngkuai";;hsk6
註;zhu4;"VERB

annotate

<hr style='width: 30%'>

BOUND FORM

record; register in zhùcè

<hr style='width: 30%'>

NOUN

notes; annotation See also ⁵zhù";注;hsk7-9
融;rong2;"VERB

melt; thaw

<hr style='width: 30%'>

BOUND FORM

1 blend; merge in ¹rónghé

2 banking; finance in jīnróng";;hsk7-9
達;da2;"VERB

1 reach

2 inform

<hr style='width: 30%'>

BOUND FORM

1 intelligible in cíbùdáyì

2 prominent

<hr style='width: 30%'>

CONJUNCTION

until See also ⁷dā ¹²tà";达;
扼;e4;"VERB

1 grip; clutch

2 control; guard";;hsk3
鑄;zhu4;"VERB

, metal. cast; found";铸;
開;kai1;"VERB

1 open

2 open up; reclaim (land)

3 open out

4 come loose

5 start; begin; operate

6 drive

7 turn on (a light)

8 run a (business)

9 hold a (meeting/etc.)

10 eliminate

11 divide into

12 reveal

13 boil 水開了, 快去沖茶。 Shuǐ kāi le, kuài qù chōngchá. The water's boiling. Hurry and make tea.

14 topo. (slang) dismiss; fire (an employee)

15 pay (wages/fares/etc.)

16 coll. eat up

<hr style='width: 30%'>

ADVERB

1 open

2 (indicating the beginning and continuation of an action)

<hr style='width: 30%'>

NOUN

1 Surname

2 print. size of a book page; -mo

3 carat

<hr style='width: 30%'>

SUFFIX

(added to verbs to express “away; off; out; etc.”) 這屋太小, 我們坐不開。 Zhèi wū tài xiǎo, wǒmen zuòbukāi. The room is not big enough to seat all of us. (added to two digits to express a ratio between the two considered as parts of ten)
	七三開 qī sān kāi

7:3";开;hsk1
刃;ren4;"BOUND FORM

1 sharp edge of a knife/sword blade in dāorèn

2 kill with a knife/sword in ²shǒurèn";;hsk3
壺;hu2;"NOUN

1 kettle; pot

M: bǎ / 把

2 bottle; flask

3 archeo. jar of round/rectangular/compressed shape";壶;hsk6
虎;hu3;"NOUN

tiger

M: ge / ²zhī / 個 / 隻

<hr style='width: 30%'>

VERB

1 bluff; intimidate

2 deceive; cheat

<hr style='width: 30%'>

BOUND FORM

tiger-like; brave in hǔjiàng See also ⁶hū ¹⁴hù";;hsk5
益;yi4;"BOUND FORM

1 benefit; good; advantage in yìchu , ²déyì

2 beneficial; profitable in ³yǒuyì

3 increase in zēngyì

4 all the more; even more in rìyì

<hr style='width: 30%'>

NOUN

name of one of the Sixty-four Hexagrams (䷩)";;hsk3
贈;zeng4;"wr.  

<hr style='width: 30%'>

VERB

give as a present";赠;hsk5
導;dao3;"BOUND FORM

1 guide; lead in yị̌ndǎo

2 transmit; conduct in bàndạ̌otǐ

3 instruct; direct in zhị̌dǎo See also ⁴dāo ²dào";导;
陳;"chen2; zhen4";"chen2
STATIC VERB

1 old; stale

2 old and mellow (of wine)

<hr style='width: 30%'>

BOUND FORM

1 lay out; put on display in chénliè

2 state; explain in ¹chénshù

<hr style='width: 30%'>

NOUN

1 Surname

2 Chen dynasty (557-589)

<hr style='width: 30%'><hr style='width: 30%'>

zhen4
NA";陈;
艮;"gen3; gen4";"gen3
coll.  

<hr style='width: 30%'>

STATIC VERB

1 tough; hard to chew

2 straightforward; blunt; forthright See also gén ²gèn

<hr style='width: 30%'><hr style='width: 30%'>

gen4
NOUN

1 name of one of the Eight Trigrams (☶)

2 name of one of the Sixty-four Hexagrams (䷳)

<hr style='width: 30%'>

VERB

extend; stretch See also gěn";;hsk3
坤;kun1;"BOUND FORM

female in kūnbiǎo

<hr style='width: 30%'>

NOUN

1 name of one of the Eight Trigrams (☷)

2 name of one of the Sixty-four Hexagrams (䷁)";;hsk3
兌;dui4;"VERB

exchange; convert add (water/etc.)

<hr style='width: 30%'>

NOUN

1 name of one of the Eight Trigrams (☱)

2 name of one of the Sixty-four Hexagrams (䷹)";兑;
側;"ce4; zhai1";"ce4
BOUND FORM

side in liǎngcè

<hr style='width: 30%'>

VERB

incline; lean 他總愛側著身子睡覺。 Tā zǒng ài cèzhe shēnzi shuìjiào. He likes sleeping on his side. See also ⁴zhāi

<hr style='width: 30%'><hr style='width: 30%'>

zhai1
BOUND FORM

tilted; slanted in zhāiwai , zhāileng See also ¹cè";侧;hsk6
卸;xie4;"VERB

unload; discharge; lay down; take sth. off";;hsk7-9
籌;chou2;"VERB

prepare; plan

<hr style='width: 30%'>

NOUN

chip; counter";筹;hsk7-9
冢;zhong3;"BOUND FORM

grave; tomb in zhǒngfù , ²fāzhǒng";;hsk3
權;quan2;"NOUN

1 wr. steelyard weight

2 right; power; authority

3 Surname

<hr style='width: 30%'>

ADVERB

tentatively; for the time being

<hr style='width: 30%'>

BOUND FORM

weigh; assess in ¹quánhéng";权;hsk6
崩;beng1;"VERB

1 collapse

2 burst

3 be hit by sth. bursting

4 coll. execute by shooting

5 die (of an emperor)";;hsk3
贅;zhui4;"BOUND FORM

1 man who marries into his wife's family and takes her surname in rùzhuì

2 appendage; protuberance in ròuzhuì , fùzhuìxuányóu

3 superfluous; extra; redundant in ¹zhuìliú

4 topo. burdensome; cumbersome in léizhui

<hr style='width: 30%'>

VERB

tiresomely follow around (as children)";赘;
妻;qi1;"BOUND FORM

wife in qīzi , fūqī";;hsk3
悖;bei4;"BOUND FORM

1 be contrary to; go against in ¹bèinì

2 perverse; erroneous in bèimiù";;hsk3
遍;"pian4; bian4";"pian4
all over

<hr style='width: 30%'><hr style='width: 30%'>

bian4
BOUND FORM

all over; everywhere in biàndì

<hr style='width: 30%'>

VERB

. (for repetitive times/occurrences)
	再說一遍 zài shuō yī biàn say it again";;hsk3
誓;shi4;"BOUND FORM

vow; pledge; swear in ¹fāshì";;hsk3
戶;hu4;"BOUND FORM

1 door in guānménbìhù

2 household; family in hùkǒu

3 (bank) account in hùtóu

4 a person of a certain profession/status in dàhù

<hr style='width: 30%'>

NOMINAL MEASURE WORD

family; household";户;hsk4
嶺;ling3;"BOUND FORM

1 mountain range in Qínlǐng

2 mountain; ridge in shānlǐng";岭;
耽;dan1;"BOUND FORM

1 delay in dānwu

2 wr. indulge in";;hsk3
誡;jie4;"BOUND FORM

warn in ¹gàojiè";诫;
凱;kai3;"BOUND FORM

victorious in battle in kǎigē , kǎixuán";凯;
崽;zai3;"NOUN

1 topo. son

2 young animal; whelp";;hsk3
蝕;shi2;"BOUND FORM

1 lose in ¹shíběn

2 erode; corrode in ¹fǔshí

3 eclipse in rìshí";蚀;
鹿;lu4;"NOUN

deer";;hsk7-9
銜;xian2;"VERB

hold in the mouth

<hr style='width: 30%'>

BOUND FORM

1 harbor; bear in ¹xiánhèn

2 link up; join in xiánjiē

3 wr. receive (an order/etc.) in xiánmìng

4 rank; title in tóuxián";衔;
唁;yan4;"BOUND FORM

expression of condolence in yànhán , wèiyàn";;hsk3
縷;lü3;"NOMINAL MEASURE WORD

1 thread

2 wisp; strand

<hr style='width: 30%'>

BOUND FORM

detailed; in detail in lǚshù";缕;hsk7-9
鍵;jian4;"NOUN

1 key (of a piano/computer/etc.)

2 chem. bond

3 wr. bolt (of door)";键;hsk5
溫;wen1;"STATIC VERB

warm

<hr style='width: 30%'>

VERB

warm up (as food)

<hr style='width: 30%'>

BOUND FORM

1 temperature in wēndù

2 mild (of temperature/temperament) in wēnhé

3 review in wēnxí

<hr style='width: 30%'>

NOUN

Surname";温;
鏟;chan3;"NOUN

 

<hr style='width: 30%'>

VERB

shovel";铲;hsk7-9
痊;quan2;"BOUND FORM

recover from illness in ¹quányù , quánkě";;hsk3
腕;wan4;"BOUND FORM

wrist in shǒuwàn , ¹wànzi";;hsk3
奮;fen4;"BOUND FORM

1 act vigorously in fèndòu

2 lift; raise in fènbìgāohū";奋;
枉;wang3;"BOUND FORM

1 distort; pervert in wǎngfǎ

2 wrong; calumniate in yuānwang

3 in vain in wǎngzì

4 crooked; bent in jiạ̌owǎngguòzhèng

5 in vain in ¹wǎngrán";;hsk3
沿;yan2;"COVERB

along 他常常沿著河邊散步。 Tā chángcháng yánzhe hébiān sànbù. He often walks along the river.

<hr style='width: 30%'>

VERB

trim (a border/etc.)

<hr style='width: 30%'>

BOUND FORM

1 edge; border in biānyán

2 follow (a pattern/etc.) in yányòng";;hsk6
喪;"sang4; sang1";"sang4
VERB

1 lose (by death) 我從小喪母。 Wǒ cóngxiǎo sàng mǔ. I lost my mother when I was a child.

2 lose (sth. important) See also ²sāng

<hr style='width: 30%'><hr style='width: 30%'>

sang1
BOUND FORM

mourning in sāngshì See also sàng";丧;
桶;tong3;"NOUN

 

<hr style='width: 30%'>

NOMINAL MEASURE WORD

tub; pail; barrel";;hsk7-9
沏;qi1;"VERB

infuse (tea); dissolve in hot water";;hsk7-9
畫;hua4;"VERB

1 draw; paint

2 draw a line/sign; mark

3 decorate with paintings/pictures

<hr style='width: 30%'>

NOUN

stroke in Chinese character

M: ge / ³xiàng / 個 / 項

<hr style='width: 30%'>

BOUND FORM

plan in jìhuà";画;hsk3
漲;zhang3;"VERB

rise; go up (of water/prices/etc.) See also ⁶zhàng";涨;hsk6
尚;shang4;"ADVERB

, wr.

1 still; yet

2 fairly; rather

3 court. respectfully

<hr style='width: 30%'>

BOUND FORM

esteem; value in ²shàngwǔ

<hr style='width: 30%'>

NOUN

Surname";;hsk7-9
寬;kuan1;"STATIC VERB

1 wide; broad

2 generous; lenient

3 comfortably off; well-off

<hr style='width: 30%'>

NOUN

width; breadth

<hr style='width: 30%'>

VERB

1 relax; relieve

2 extend";宽;hsk4
闊;kuo4;"STATIC VERB

1 wide; broad; vast

2 wealthy; rich

3 separated; living apart";阔;hsk6
核;he2;"BOUND FORM

1 nut; kernel in hétao

2 pit/stone (of a fruit) in hér

3 core/“heart” of a matter in ¹héxīn

4 nucleus in ¹hézǐ , xìbāohé

5 investigate; verify in hézhǔn See also ⁶hú";;hsk7-9
貧;pin2;"BOUND FORM

1 poor; impoverished in pínqióng

2 inadequate; deficient in pínxuè

3 garrulous; loquacious in pínzuǐ

<hr style='width: 30%'>

ATTRIBUTIVE

, humb. self-address for Budd. monk or Dao. priest";贫;
遷;qian1;"VERB

move

<hr style='width: 30%'>

BOUND FORM

change in ¹biànqiān";迁;hsk7-9
傍;"bang4; pang2";"bang4
BOUND FORM

near/close to (a time of the day) in bàngwǎn

<hr style='width: 30%'>

VERB

1 depend on

2 (slang) date; go out with; have an intimate relationship with sb.

<hr style='width: 30%'><hr style='width: 30%'>

pang2
NA";;hsk3
率;shuai4;"BOUND FORM

1 lead; command in shuàilǐng

2 wr. follow; obey

3 cursory in cǎoshuài

4 straightforward in tǎnshuài

5 rash; hasty

6 generally; mostly in ²dàshuài

<hr style='width: 30%'>

NOUN

, wr. net (to catch birds) See also ²lǜ";;hsk7-9
優;you1;"BOUND FORM

1 excellent; superior in yōuliáng

2 ample; abundant in ²yōuyù

3 free; leisurely in yōuyóu

4 give preferential treatment in yōudài

5 trad. actor; actress in ²yōulíng";优;hsk7-9
越;yue4;"BOUND FORM

1 get/jump over in ¹yuèqiáng

2 exceed; overstep in yuèjiè

3 at a high pitch (of one's voice/emotions) in ¹jīyuè

<hr style='width: 30%'>

NOUN

1 Surname

2 hist. Viet (state in SE China)

3 one of the Warring States

4 a name for eastern Zhejiang

<hr style='width: 30%'>

CONSTRUCTION

∼ A ∼ B the more A the more B
	越多越好 Yuè duō yuè hǎo the more the better  AB. Yuènán";;hsk3
鞋;xie2;"NOUN

shoes";;hsk3
排;pai2;"VERB

1 arrange; put in order; sequence 請各位排好。 Qǐng ²gèwèi pái hǎo. Please stand in queue.

2 remove with force; discharge; exclude

3 push open

4 rehearse a play/etc.

<hr style='width: 30%'>

NOUN

1 loan pie

2 mil. platoon

<hr style='width: 30%'>

NOMINAL MEASURE WORD

row; line

<hr style='width: 30%'>

BOUND FORM

anti-
	排美 Pái Měi anti-American See also ⁴pái ²pǎi";;hsk3
隊;dui4;"NOUN

 

<hr style='width: 30%'>

NOMINAL MEASURE WORD

1 a row of people; line

2 team; group

3 detachment; contingent (of soldiers/policemen/etc.)";队;hsk3
潰;kui4;"wr.  

<hr style='width: 30%'>

BOUND FORM

1 burst (dam) in kuìjué

2 break through (encirclement) in kuìwéi

3 be routed in kuìbài

4 fester; ulcerate in kuìyáng See also ²¹huì";溃;
烤;kao3;"VERB

1 bake; roast; toast

2 warm (hands/feet) near fire";;hsk7-9
攤;tan1;"VERB

1 spread out; unfold

2 share in; contribute

3 befall 什麼事都攤在他身上了。 Shénme shì dōu tān zài tā shēnshang le. Everything has happened to him.

4 fry batter in thin layers

<hr style='width: 30%'>

BOUND FORM

vendor's stand; stall in ¹tānzi

<hr style='width: 30%'>

NOMINAL MEASURE WORD

(for liquids) puddle; pool; smudge; stain
	一攤水 yī̠ tān shuǐ a pool of water";摊;hsk7-9
偃;yan3;"BOUND FORM

1 fall on one's back; lie supine in yǎnpū

2 cease; desist in xiūwényǎnwǔ";;hsk3
旗;qi2;"NOUN

1 banner; emblem

2 Mongol/Manchu administrative division";;hsk3
鼓;gu3;"NOUN

drum

M: miàn / 面

<hr style='width: 30%'>

VERB

1 beat/play certain musical instruments

2 blow with bellows/etc.

3 arouse; inspire; stimulate

<hr style='width: 30%'>

STATIC VERB

bulging; swelling See also ¹⁷gū";;hsk5
閃;shan3;"VERB

1 dodge; get out of the way 請閃一閃。 Qị̌ng shǎn yī̠ shǎn. Please make way.

2 twist; sprain 我的腳腕子閃了。 Wǒ de jiǎowànzi shǎn le. I twisted my ankle.

3 have a mishap

4 flash 這個念頭在我腦子裡閃了一下。 Zhège niàntou zài wọ̌ nǎozi lǐ shǎnle yị̄xià. This idea flashed through my mind.

5 topo. leave behind

<hr style='width: 30%'>

NOMINAL MEASURE WORD

flash";闪;hsk4
租;zu1;"VERB

rent; lease 我要租房子。 Wǒ yào zū fángzi. I am going to rent a house.

<hr style='width: 30%'>

BOUND FORM

1 land tax in zūshuì

2 rent in zūjīn , fángzū";;hsk3
纔;cai2;"ADVERB

1 then and only then

2 just now

3 only (before a number)

4 actually, very/more 她唱得才好呢。 ²Tā chàng de cái hǎo ne. Actually, she sang better (than sb. else). See also ⁴cái";才;hsk4
讓;rang4;"VERB

1 yield 他不讓人。 Tā bụ̀ ràng rén. He does not yield to others.

2 allow 媽媽不讓我去。 Māma bụ̀ ràng wǒ qù. My mom won't let me go.

3 induce sb. to do sth. a 誰讓你來的? Shuí ràng nǐ lái de? Who told you to come? b 她讓客人就座。 ²Tā ràng kèren jiùzuò. She invited guests to sit at table.

4 transfer possession of sth.

5 offer

<hr style='width: 30%'>

COVERB

(passive signifier) by 行李讓雨給淋濕了。 Xíngli ràng yụ̌ gěi línshī le. The luggage was soaked by rain.

<hr style='width: 30%'>

CONSTRUCTION

N ∼ ¹rén V N makes one V 主任讓他去開會。 Zhǔrèn ràng tā qù kāihuì. The director wants him to go to the meeting.";让;hsk3
農;nong2;"BOUND FORM

1 agriculture; farming in ¹nóngyè

2 peasant; farmer in ¹nóngrén";农;
瀕;bin1;"BOUND FORM

1 be close to (the sea/river/etc.) in ¹bīnlín

2 be on the brink of in ¹bīnwēi";濒;
枯;ku1;"STATIC VERB

1 withered (of plants/etc.)

2 dried (of wells/etc.)

3 emaciated

<hr style='width: 30%'>

BOUND FORM

dull; uninteresting in kūzào";;hsk3
癟;bie3;"STATIC VERB

shriveled; shrunken

<hr style='width: 30%'>

VERB

1 shrivel

2 become dejected See also ³biē";瘪;
晾;liang4;"VERB

1 dry in the air/sun; air; sun 把濕衣服晾出去。 Bǎ ²shī yīfu liàng chūqu. Take out the wet clothes to dry in the air.

2 coll. snub; ignore";;hsk3
抹;"mo3; ma1; mo4";"mo3
VERB

1 put on; apply; smear; plaster

2 brush/wipe off; exclude

3 play (cards/etc.)

4 coll. cut one's throat

5 screw up one's face See also ²mā ¹⁰mò

<hr style='width: 30%'><hr style='width: 30%'>

ma1
VERB

1 coll. wipe

2 slip sth. off See also mǒ ¹⁰mò

<hr style='width: 30%'><hr style='width: 30%'>

mo4
VERB

1 daub; plaster

2 skirt; bypass See also ²mā mǒ";;hsk7-9
摳;kou1;"VERB

1 dig/pick out

2 carve; cut

3 delve into; study meticulously

4 lift one's garment

<hr style='width: 30%'>

STATIC VERB

stingy; miserly";抠;hsk7-9
積;ji1;"VERB

amass; store up; accumulate

<hr style='width: 30%'>

BOUND FORM

long-standing; long-pending; age-old in jīxí

<hr style='width: 30%'>

NOUN

1 med. indigestion

2 math. product";积;hsk7-9
環;huan2;"BOUND FORM

1 ring; circle in ěrhuán

2 link in tiěhuán

3 surround; encircle in huánrào

<hr style='width: 30%'>

NOUN

ring";环;
趁;chen4;"VERB

1 take advantage of; avail oneself of

2 be possessed of; be rich in

<hr style='width: 30%'>

COVERB

while 趁老師還沒走, 有問題快問。 Chèn lǎoshī hái méi zǒu, yǒu wèntí kuài wèn. Ask questions while the teacher is still here. 趁他不在, 我們上網看看。 Chèn tā bụ̀ zài, wǒmen shàngwǎng kànkan. Let's get on the Internet while he's not here.";;hsk7-9
瞅;"chou3; qiu5";"chou3
VERB

, coll. look at See also qiu

<hr style='width: 30%'><hr style='width: 30%'>

qiu5
char. in liūqiu See also ¹chǒu";;hsk7-9
寧;"ning2; ning4";"ning2
BOUND FORM

peaceful; tranquil in ¹níngjìng

<hr style='width: 30%'>

NOUN

1 short for Ningxia

2 another name for Nanjing See also ¹nìng

<hr style='width: 30%'><hr style='width: 30%'>

ning4
ADVERB

1 rather; would rather

2 wr. could there be

<hr style='width: 30%'>

NOUN

Surname See also ³níng";宁;
甯;ning2;"BOUND FORM

peaceful; tranquil in ¹níngjìng

<hr style='width: 30%'>

NOUN

1 short for Ningxia

2 another name for Nanjing See also ¹nìng";宁;
錄;lu4;"BOUND FORM

1 record; write down; copy in jìlù

2 employ; hire in lùqǔ

3 tape-record in lùyīn

4 record; register; collection in ¹yǔlù";录;
齏;ji1;"BOUND FORM

finely ground spices in jīfěn";齑;
泥;"ni2; ni4";"ni2
NOUN

mud; clay

<hr style='width: 30%'>

BOUND FORM

mashed vegetables/fruit in zǎoní See also ⁴nì

<hr style='width: 30%'><hr style='width: 30%'>

ni4
VERB

cover/daub with plaster

<hr style='width: 30%'>

BOUND FORM

stubborn; bigoted in jūnì See also ¹ní";;hsk6
撫;fu3;"VERB

1 comfort; console

2 nurture; foster

3 stroke";抚;
安撫;an1fu3;"VERB

, wr. placate; pacify 安撫憤怒的人群。 Ānfǔ fènnù de rénqún. placate an angry crowd";安抚;hsk7-9
駒;ju1;"NOUN

1 colt

2 foal";驹;
牌;pai2;"BOUND FORM

1 plate; tablet in ménpái

2 brand in ¹míngpái

3 cards, dominoes, etc. in zhǐpái

4 wr. prosodic pattern for ¹cí or ³qǔ in qǔpái";;hsk4
撤;che4;"VERB

1 remove; take away 把酒菜撤下去。 Bǎ jiǔcài chè xiàqu. Take away the wine and dishes.

2 withdraw; evacuate";;hsk7-9
錢袋;qian2dai4;"NOUN

money bag; purse; wallet

M: ²zhī / 隻";钱袋;
袋;dai4;"NOUN

bag; sack; pocket; pouch

<hr style='width: 30%'>

NOMINAL MEASURE WORD

(for bags of sth.)";;hsk4
囤;"dun4; tun2";"dun4
NOUN

grain bin See also ²tún

<hr style='width: 30%'><hr style='width: 30%'>

tun2
VERB

store up; hoard See also ⁷dùn";;hsk3
墨;mo4;"NOUN

1 ink stick; ink cake

2 Surname

<hr style='width: 30%'>

BOUND FORM

1 ink in mòshuǐ

2 handwriting in yímò

3 black; dark in mòjìng

4 Mohism in Mòjiā

5 corrupt; venal  AB. Mòxīgē

<hr style='width: 30%'>

VERB

, hist. tattoo the face (as punishment)";;hsk7-9
消解;xiao1jie3;"VERB

clear up; dispel";;hsk3
血緣;xue4yuan2;"NOUN

ties of blood; consanguinity";血缘;hsk7-9
舒服;shu1fu5;"STATIC VERB

1 comfortable

2 well 我今天不大舒服。 Wǒ jīntiān bụ̀ dà shūfu. I'm not well today.";;hsk3
舒;shu1;"BOUND FORM

1 open up; relax; unfold in ²shūzhǎn

2 be relaxed/leisurely in shūfu

<hr style='width: 30%'>

NOUN

Surname";;hsk3
琢磨;zhuo2mo2;"VERB

1 carve and polish (jade)

2 improve (literary works); polish; refine

3 study and improve; mold (oneself) See also zuómo";;hsk7-9
琢;zhuo2;"VERB

carve; sculpture See also ²zuó";;hsk3
龍;long2;"NOUN

1 dragon

2 Surname

<hr style='width: 30%'>

BOUND FORM

1 imperial in lóngpáo

2 dinosaur in kǒnglóng";龙;
寨;zhai4;"BOUND FORM

1 stockade; camp in yíngzhài , lùzhài

2 village (used in place names)";;hsk3
即時;ji2shi2;"ADVERB

immediately; forthwith";即时;
利落;li4luo5;"STATIC VERB

1 agile; nimble; dexterous

2 neat; orderly 我的秘書辦事很利落。 Wǒ de mìshu bànshì hěn lìluo. My secretary is neat and orderly in his work.

3 settled; finished";;hsk3
井井有條;jing3jing3you3tiao2;"FIXED EXPRESSION

shipshape; methodical 老張的家安排得井井有條。 Lǎo Zhāng de jiā ānpái de jị̌ngjị̌ngyǒutiáo. Everything in Lao Zhang's house is meticulously arranged.";井井有条;
為首;wei2shou3;"VERB

OBJECT CONSTRUCTION

head; be headed by
	以王先生為首的代表團 yǐ Wáng xiānsheng wéishǒu de dàibiǎotuán a delegation headed by Mr. Wang";为首;
尤;you2;"ADVERB

especially; particularly

<hr style='width: 30%'>

BOUND FORM

1 fault; wrongdoing in xiàoyóu

2 blame; indict in yuàntiānyóurén

<hr style='width: 30%'>

NOUN

Surname";;hsk3
尤其;you2qi2;"ADVERB

especially 市場形勢很好, 股票市場尤其好。 Shìchǎng ²xíngshì hẹ̌n hǎo, gǔpiào shìchǎng yóuqí hǎo. The market situation is good. The stock market is especially good.";;hsk5
棵;ke1;"NOMINAL MEASURE WORD

(for trees/cabbages/etc.)

<hr style='width: 30%'>

NOUN

1 size (of plants)

2 (slang) one hundred yuán (RMB)";;hsk4
苗;miao2;"NOUN

1 young plant; seedling

2 Miao (Hmong) ethnic minority (in southwest China)

3 Surname";;hsk7-9
喝彩;he4cai3;"VERB

OBJECT CONSTRUCTION

acclaim; cheer 觀眾齊聲喝彩。 Guānzhòng qíshēng hècǎi. The audience cheered with one accord.";;hsk7-9
長江後浪催前浪;chang2 jiang1 hou4 lang4 cui1 qian2 lang4;;长江后浪催前浪;
蒙頭;meng2tou2;"VERB

OBJECT CONSTRUCTION

cover up the head";蒙头;
蒙;"meng2; meng1";"meng2
VERB

cover

<hr style='width: 30%'>

BOUND FORM

1 receive in méngshòu

2 encounter in méngnàn

3 ignorant; illiterate in méngmèi

<hr style='width: 30%'>

NOUN

name of one of the Sixty-four Hexagrams (䷃) See also mēng Měng

<hr style='width: 30%'><hr style='width: 30%'>

meng1
VERB

1 cheat; dupe 甭蒙我! Béng mēng wǒ! Don't kid me.

2 make a wild guess 啊!讓我蒙對了。 À! ràng wǒ mēng duì le. Ah, I guessed it right!

<hr style='width: 30%'>

BOUND FORM

unconscious; senseless in fāmēng See also ¹méng Měng";;hsk6
